# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Amillepora.proteins.fa --output Amillepora_euk -d euk --usemem --cpu 60
# time: Tue Oct  2 21:05:37 2018
#query_name	eggNOG annot
Amillepora27242	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
Amillepora27241	Ion transport protein
Amillepora27247	Fibronectin type III domain
Amillepora27246	serine threonine kinase
Amillepora27248	RhoGEF domain
Amillepora27251	receptor, type
Amillepora27257	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)
Amillepora27261	hormone receptor
Amillepora27258	peroxiredoxin
Amillepora27265	Adaptor-related protein complex
Amillepora27264	Heterogeneous nuclear ribonucleoprotein U-like
Amillepora27263	zinc finger
Amillepora27269	NA
Amillepora27267	hormone receptor
Amillepora27271	WD domain, G-beta repeat
Amillepora27274	Inherit from COG: Retrotransposon protein
Amillepora27273	NA
Amillepora27277	methyltransferase
Amillepora27278	methyltransferase
Amillepora27279	Importin 11
Amillepora27281	NA
Amillepora27283	NA
Amillepora27286	Pao retrotransposon peptidase 
Amillepora27305	Hydra magnipapillata
Amillepora27294	NA
Amillepora27299	mitogen-activated protein kinase kinase kinase
Amillepora27301	NA
Amillepora27303	ubiquitin-conjugating enzyme
Amillepora27302	NA
Amillepora27304	Hydra magnipapillata
Amillepora27307	Hydra magnipapillata
Amillepora27310	Hydra magnipapillata
Amillepora27314	NA
Amillepora27306	family with sequence similarity 26, member E
Amillepora27308	sugar transporter
Amillepora27315	NA
Amillepora27321	galactose-1-phosphate uridylyltransferase
Amillepora27320	ankyrin repeat
Amillepora27322	ubiquitin-conjugating enzyme
Amillepora27316	NA
Amillepora27318	Regulation of nuclear pre-mRNA domain containing
Amillepora27317	Threonyl-tRNA
Amillepora27325	Gon-4-like (C. elegans)
Amillepora27323	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
Amillepora27324	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
Amillepora27327	atp-dependent clp protease ATP-binding subunit
Amillepora27331	ubiquitin associated protein
Amillepora27328	Tubulin, gamma complex associated protein 4
Amillepora27336	Cyclin-Dependent Kinase
Amillepora27333	dyslexia susceptibility 1 candidate 1
Amillepora27329	)-reductase
Amillepora27332	complex subunit
Amillepora27337	Lamin A C
Amillepora27341	Snurportin 1
Amillepora27338	Metaxin 3
Amillepora27340	transferase activity, transferring phosphorus-containing groups
Amillepora27349	Cholinergic receptor, nicotinic, alpha
Amillepora27354	mitogen-activated protein kinase kinase kinase kinase
Amillepora27350	protease
Amillepora27348	chromosome 7 open reading frame 57
Amillepora27345	phospholipid scramblase
Amillepora27352	thymosin beta
Amillepora27353	chromosome 4 open reading frame 29
Amillepora27355	solute carrier family 4
Amillepora27359	mitogen-activated protein kinase kinase kinase
Amillepora27356	Calcium channel, voltage-dependent, beta
Amillepora27366	GOlgi Snap Receptor complex member
Amillepora27357	apolipoprotein l
Amillepora27364	NA
Amillepora27358	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 7
Amillepora27373	DegT/DnrJ/EryC1/StrS aminotransferase family
Amillepora27377	thioredoxin-related transmembrane protein
Amillepora27376	dual adaptor of phosphotyrosine and 3-phosphoinositides
Amillepora27369	Ras-related protein
Amillepora27372	heat shock
Amillepora27370	family with sequence similarity 133, member
Amillepora27368	Peroxisomal biogenesis factor 12
Amillepora27374	Coiled-coil domain containing 108
Amillepora27380	UPF0676 protein C1494.01-like
Amillepora27378	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Amillepora27381	Inherit from NOG: CAP_GLY
Amillepora27382	von Willebrand factor D and EGF
Amillepora27379	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Amillepora27384	protein Hydra magnipapillata
Amillepora27390	Zinc finger protein 330
Amillepora27393	Cyclin-dependent protein kinase
Amillepora27392	chromosome 5 open reading frame 48
Amillepora27383	pyroglutamylated RFamide peptide receptor
Amillepora27386	protein Hydra magnipapillata
Amillepora27389	NA
Amillepora27385	protein Hydra magnipapillata
Amillepora27396	goosecoid homeobox
Amillepora27400	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Amillepora27395	PHD finger protein 10
Amillepora27399	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Amillepora27402	Ligand-gated ion channel
Amillepora27401	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Amillepora27411	DNAj (Hsp40) homolog, subfamily C, member
Amillepora27406	Max dimerization protein
Amillepora27407	serine threonineprotein phosphatase
Amillepora27405	Catalyzes the addition of fucose in alpha 1-6 linkage to the first GlcNAc residue, next to the peptide chains in N-glycans (By similarity)
Amillepora27408	Transmembrane protein 87A
Amillepora27412	SPARC related modular calcium binding
Amillepora27417	SEC14
Amillepora27413	Ectonucleoside triphosphate diphosphohydrolase
Amillepora27420	Ficolin (Collagen fibrinogen domain containing)
Amillepora27424	NA
Amillepora27415	Trafficking protein, kinesin binding
Amillepora27416	SET domain containing 2
Amillepora27425	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
Amillepora27430	UDP Glucuronosyltransferase 2 family, polypeptide
Amillepora27436	FtsJ methyltransferase domain containing 2
Amillepora27427	solute carrier family 16, member
Amillepora27428	Component of the SCF(sconB) E3 ubiquitin ligase complex involved in the regulation of sulfur metabolite repression, probably by mediating the inactivation or degradation of the metR transcription factor
Amillepora27429	transmembrane protein 50A
Amillepora27431	cathepsin
Amillepora27447	homeobox
Amillepora27438	Zinc finger protein 500
Amillepora27446	homeobox
Amillepora27442	Vacuolar protein
Amillepora27445	homeobox
Amillepora27448	homeobox
Amillepora27449	homeobox
Amillepora27453	UDP Glucuronosyltransferase 2 family, polypeptide
Amillepora27457	leishmanolysin-like (metallopeptidase M8 family)
Amillepora27456	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
Amillepora27452	forkhead
Amillepora27455	Globin
Amillepora27466	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
Amillepora27462	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
Amillepora27463	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
Amillepora27465	SH3
Amillepora27464	Protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
Amillepora27460	CDC42 binding protein kinase gamma (DMPK-like)
Amillepora27458	NA
Amillepora27469	Cyclin-dependent kinase-like
Amillepora27473	mitogen-activated protein kinase kinase kinase
Amillepora27472	DUF292 domain containing protein
Amillepora27468	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
Amillepora27471	coiled-coil domain containing 176
Amillepora27474	NA
Amillepora27470	Phosphodiesterase
Amillepora27481	Ankyrin Repeat Protein
Amillepora27480	Dynein, light chain
Amillepora27482	sidekick cell adhesion molecule 2
Amillepora27486	protein phosphatase 1, regulatory subunit
Amillepora27487	crooked neck pre-mRNA splicing factor-like 1 (Drosophila)
Amillepora27484	DNA polymerase
Amillepora27477	synthetase
Amillepora27490	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
Amillepora27489	molybdenum cofactor
Amillepora27499	double zinc ribbon and ankyrin repeat domains 1
Amillepora27502	Myotubularin related protein
Amillepora27493	Inherit from COG: Hydrolase
Amillepora27495	DnaJ (Hsp40) homolog, subfamily C, member 13
Amillepora27494	transmembrane protein 63C
Amillepora27498	ARP3 actin-related protein 3 homolog
Amillepora27497	Intersectin 1 (SH3 domain protein)
Amillepora27500	Maguk P55 subfamily member
Amillepora27507	YLP motif containing 1
Amillepora27503	Maguk P55 subfamily member
Amillepora27510	mcf.2 cell line derived transforming
Amillepora27506	Tubulin folding cofactor C
Amillepora27505	family with sequence similarity 207, member A
Amillepora27509	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Amillepora27512	EFh
Amillepora27513	kiaa0947
Amillepora27516	ATP-binding cassette, sub-family G (WHITE), member
Amillepora27520	Cancer susceptibility candidate 5
Amillepora27518	acyl-CoA synthetase family member 3
Amillepora27521	chondroitin sulfate
Amillepora27519	HtrA serine peptidase
Amillepora27522	Golgi reassembly stacking protein
Amillepora27525	ATP-binding cassette, sub-family G (WHITE), member
Amillepora27527	forkhead box N3
Amillepora27528	spermatogenesis associated 17
Amillepora27529	dual specificity phosphatase 10
Amillepora27534	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora27535	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora27536	KRAB-A domain containing 2
Amillepora27540	Resistance to inhibitors of cholinesterase 8 homolog
Amillepora27533	Methyltransferase like 3
Amillepora27539	NA
Amillepora27542	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA (By similarity)
Amillepora27543	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)
Amillepora27545	NA
Amillepora27549	spermatogenesis associated 2
Amillepora27547	NIN1 RPN12 binding protein 1 homolog (S. cerevisiae)
Amillepora27551	Formin Homology 2 Domain containing
Amillepora27552	processing of precursor 4, ribonuclease P MRP subunit (S. cerevisiae)
Amillepora27560	Leukocyte receptor cluster (LRC) member 1
Amillepora27557	e3 ubiquitin-protein ligase
Amillepora27556	neural precursor cell expressed, developmentally down-regulated 8
Amillepora27553	signal sequence receptor, alpha
Amillepora27558	NA
Amillepora27563	growth regulation by estrogen in breast
Amillepora27566	Prenylcysteine oxidase 1
Amillepora27571	Inherit from KOG: Growth factor receptor
Amillepora27564	Integrase core domain
Amillepora27575	NA
Amillepora27576	Inherit from euNOG: solute carrier family 17
Amillepora12916	collagen, type XII, alpha 1
Amillepora12910	Conserved hypothetical protein
Amillepora12915	iduronidase, alpha-L
Amillepora12918	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10
Amillepora12919	transmembrane protein 26
Amillepora12914	Gamma-glutamyl hydrolase
Amillepora12912	coiled-coil domain containing 166
Amillepora12917	collagen, type XII, alpha 1
Amillepora12920	cathepsin
Amillepora12911	Gamma-glutamyl hydrolase
Amillepora12926	nudC domain containing
Amillepora12927	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)
Amillepora12924	HYR domain
Amillepora12921	unc-13 homolog D (C. elegans)
Amillepora12928	Gamma-glutamyltransferase
Amillepora12934	peroxisomal membrane protein
Amillepora12933	WW domain binding protein 2
Amillepora12932	Formin-like
Amillepora12938	Endothelin converting enzyme
Amillepora12935	mutS homolog 4 (E. coli)
Amillepora12937	Inherit from COG: Retrotransposon protein
Amillepora12939	Endothelin converting enzyme
Amillepora12936	Putative peptidase (DUF1758)
Amillepora12947	Ammonium Transporter Family
Amillepora12944	COMM domain containing 9
Amillepora12950	60s ribosomal protein
Amillepora12943	isopentenyl-diphosphate Delta-isomerase
Amillepora12951	Choline kinase
Amillepora12952	tripartite motif containing
Amillepora12941	DNA helicase which participates in several chromatin remodeling complexes, including the SWR1 and the INO80 complexes. The SWR1 complex mediates the ATP-dependent exchange of histone H2A for the H2A variant HZT1 leading to transcriptional regulation of selected genes by chromatin remodeling. The INO80 complex remodels chromatin by shifting nucleosomes and is involved in DNA repair. Also involved in pre-rRNA processing (By similarity)
Amillepora12959	vWFA domain-containing protein
Amillepora12956	solute carrier family 16, member 10 (aromatic amino acid transporter)
Amillepora12961	Transmembrane protein 183A
Amillepora12954	Oxysterol-binding protein
Amillepora12957	actin-binding protein Fragmin
Amillepora12958	gelsolin
Amillepora12962	ATP-binding cassette, sub-family C (CFTR MRP), member
Amillepora12970	HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1
Amillepora12964	uhrf1 binding protein
Amillepora12971	Inherit from COG: Cupin superfamily (DUF985)
Amillepora12963	soluble guanylate cyclase
Amillepora12972	LRR_TYP
Amillepora12966	Glycogen synthase
Amillepora12969	Sorting and assembly machinery component 50
Amillepora12974	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (Liprin), alpha
Amillepora12978	Nucleobindin
Amillepora12975	potassium voltage-gated channel shaker-related subfamily member
Amillepora12976	gelsolin
Amillepora12977	actin-binding protein Fragmin
Amillepora12983	Neuronal PAS domain protein 2
Amillepora12984	Ligand-gated ion channel
Amillepora12981	tetraspanin
Amillepora12989	CD151 molecule (Raph blood group)
Amillepora12988	CD151 molecule (Raph blood group)
Amillepora12982	williams Beuren syndrome chromosome region
Amillepora12986	CD151 molecule (Raph blood group)
Amillepora12979	glycosyltransferase-like 1b
Amillepora13001	PDZ domain (Also known as DHR or GLGF)
Amillepora12994	Arylsulfatase
Amillepora12997	DNA damage-binding protein
Amillepora12992	coagulation factor
Amillepora12996	Arylsulfatase
Amillepora13007	PA14 domain
Amillepora13006	Amino acid kinase family
Amillepora13012	PA14 domain
Amillepora13005	myosin light chain
Amillepora13011	PA14 domain
Amillepora13009	PA14 domain
Amillepora13010	PA14 domain
Amillepora13008	PA14 domain
Amillepora13027	methyltransferase like 15
Amillepora13023	tripartite motif containing 3
Amillepora13016	Usher syndrome 1C (autosomal recessive, severe)
Amillepora13024	Endoplasmic reticulumgolgi intermediate compartment protein
Amillepora13020	tripartite motif containing 71, E3 ubiquitin protein ligase
Amillepora13017	Cholinergic receptor, nicotinic, alpha
Amillepora13022	tripartite motif containing 71, E3 ubiquitin protein ligase
Amillepora13021	NA
Amillepora13015	Chromosome 6 open reading frame 106
Amillepora13019	cholinergic receptor, nicotinic
Amillepora13026	ubiquitin-conjugating enzyme
Amillepora13032	Calcium channel, voltage-dependent, beta
Amillepora13028	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
Amillepora13029	v-myc myelocytomatosis viral oncogene homolog (avian)
Amillepora13033	Ubiquitin protein ligase E3 component n-recognin 5
Amillepora13031	NA
Amillepora13030	v-myc myelocytomatosis viral oncogene homolog (avian)
Amillepora13036	PHD and ring finger domains 1
Amillepora13039	TOLL-like receptor
Amillepora13037	Endothelin converting enzyme
Amillepora13035	NA
Amillepora13041	TOLL-like receptor
Amillepora13046	archaelysin family metallopeptidase
Amillepora13045	ras association (RalGDS AF-6) domain family (N-terminal) member
Amillepora13048	Phosphatidylserine synthase 2
Amillepora13043	Lamin A C
Amillepora13058	transmembrane protein 53
Amillepora13055	Cell cycle associated protein 1
Amillepora13059	Cancer susceptibility candidate 1
Amillepora13052	NA
Amillepora13053	suppressor of variegation 4-20 homolog
Amillepora13061	tripartite motif containing 71, E3 ubiquitin protein ligase
Amillepora13066	Zic family member
Amillepora13064	Zic family member
Amillepora13065	Zic family member
Amillepora13063	proto-oncogene
Amillepora13076	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing
Amillepora13068	Ethanolamine kinase
Amillepora13067	Zic family member
Amillepora13077	ELMO CED-12 domain containing
Amillepora13073	EGF-like domain
Amillepora13072	NA
Amillepora13071	collagen, type XII, alpha 1
Amillepora13083	Ribosomal protein
Amillepora13080	transcription factor
Amillepora13079	transcription factor
Amillepora13082	Trefoil factor 2
Amillepora13091	Poly(U)-specific
Amillepora13090	Poly(U)-specific
Amillepora13089	NACHT and WD repeat domain containing 1
Amillepora13088	phosphotransferase 1
Amillepora13093	family with sequence similarity 124A
Amillepora13098	chromosome 3 open reading frame 67
Amillepora13100	solute carrier family 5
Amillepora13095	serine threonine-protein kinase
Amillepora13097	Parkinson disease 7 domain containing 1
Amillepora13094	PotAssium voltage-gated channel
Amillepora13099	1-aminocyclopropane-1-carboxylate synthase
Amillepora13102	BTB POZ domain containing
Amillepora13101	BTB POZ domain containing
Amillepora13105	CD151 molecule (Raph blood group)
Amillepora13103	solute carrier family 5
Amillepora13104	Protein arginine n-methyltransferase
Amillepora13106	HORMA domain containing
Amillepora13107	CD151 molecule (Raph blood group)
Amillepora13110	Nucleosome assembly protein
Amillepora13112	Dynein, axonemal, intermediate chain 2
Amillepora13109	Ammonium Transporter Family
Amillepora13119	chromosome 2 open reading frame 73
Amillepora13116	BTB/POZ domain
Amillepora13126	Y box binding protein
Amillepora13111	CD151 molecule (Raph blood group)
Amillepora13125	Sorting nexin 29
Amillepora13120	cyclin a
Amillepora13123	ubiquitin carboxyl-terminal hydrolase
Amillepora13122	Activating transcription factor
Amillepora13127	7 transmembrane receptor (rhodopsin family)
Amillepora13118	RAB35, member RAS oncogene family
Amillepora13117	Kyphoscoliosis peptidase
Amillepora13131	lin-9 homolog (C. elegans)
Amillepora13130	Glucosaminyl (N-acetyl) transferase
Amillepora13132	P2X receptors are ATP-gated ion channels that play a role in intracellular calcium signaling. Not required for the purinergic response to extracellular nucleotides
Amillepora13139	protein Hydra magnipapillata
Amillepora13136	protein Hydra magnipapillata
Amillepora13135	ATP GTP binding
Amillepora13138	protein Hydra magnipapillata
Amillepora13141	protein Hydra magnipapillata
Amillepora13143	chromosome 12 open reading frame 4
Amillepora13145	NA
Amillepora13146	solute carrier family 5
Amillepora13144	BTB (Broad complex Tramtrack Bric a brac) domain protein family member
Amillepora13142	acetyltransferase
Amillepora13149	leucine-rich repeats and IQ motif containing 1
Amillepora13159	cathepsin
Amillepora13158	Hermansky-Pudlak syndrome 5
Amillepora13166	Mab-21 domain containing 1
Amillepora13163	C. elegans
Amillepora13164	C. elegans
Amillepora13171	peroxisomal biogenesis factor 3
Amillepora13168	Inherit from euNOG: solute carrier family 17
Amillepora13161	Zinc finger protein
Amillepora13170	Bcl2-associated X protein
Amillepora13178	Inherit from NOG: Pathogenesis related protein-like protein
Amillepora13173	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora13175	Forkhead transcription factor
Amillepora13179	glutathione peroxidase
Amillepora13177	synthetase
Amillepora13172	receptor
Amillepora13174	potassium voltage-gated channel, Shal-related subfamily, member
Amillepora13181	Patatin-like phospholipase domain containing
Amillepora13180	Patatin-like phospholipase domain containing
Amillepora13188	NA
Amillepora13183	DNA polymerase
Amillepora13187	Ets domain transcription factor
Amillepora13186	tetratricopeptide repeat domain 5
Amillepora13184	the catalytic subunit of succinate dehydrogenase (SDH). SDH is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q). In is unclear whether it participates in the chemistry of FAD attachment (enzymatic function) or acts as a chaperone that maintains
Amillepora13185	Adp-ribosylation factor-like
Amillepora13191	PotAssium voltage-gated channel
Amillepora13190	adenosine deaminase
Amillepora13192	EF-hand calcium binding domain
Amillepora13198	nose resistant to fluoxetine protein 6-like
Amillepora13193	TOLL-like receptor
Amillepora13196	toll-like receptor
Amillepora13201	TOLL-like receptor
Amillepora13199	nose resistant to fluoxetine protein 6-like
Amillepora13215	potassium voltage-gated channel shaker-related subfamily member
Amillepora13212	kinesin family member C1
Amillepora13209	DeAcetylase
Amillepora13216	Ankyrin Repeat Protein
Amillepora13208	Formin binding protein 4
Amillepora13210	YqaJ-like viral recombinase domain
Amillepora13227	whole genome shotgun sequence
Amillepora13225	cysteinyl-tRNA synthetase
Amillepora13223	transmembrane protein 41A
Amillepora13217	Small nuclear ribonucleoprotein
Amillepora13221	cysteinyl-tRNA synthetase
Amillepora13228	Zinc finger protein
Amillepora13233	kiaa0528
Amillepora13234	Feline leukemia virus subgroup C cellular receptor
Amillepora13236	NA
Amillepora13229	whole genome shotgun sequence
Amillepora13232	cleavage and polyadenylation specific factor
Amillepora13230	NA
Amillepora13231	tripartite motif containing 71, E3 ubiquitin protein ligase
Amillepora13238	cytochrome b5 reductase
Amillepora13240	Metallopeptidase M20 family
Amillepora13242	Metallopeptidase M20 family
Amillepora13244	Low density lipoprotein receptor-related protein
Amillepora13237	Myotrophin
Amillepora13246	rRNA processing
Amillepora13250	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora13255	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora13251	Notch ligand involved in the mediation of Notch signaling (By similarity)
Amillepora13263	fatty acyl-CoA reductase
Amillepora13269	BTB POZ domain containing
Amillepora13259	transcription factor
Amillepora13257	CAMK family protein kinase
Amillepora13261	MOB kinase activator
Amillepora13268	Putative cyclase
Amillepora13270	Putative cyclase
Amillepora13278	Feline leukemia virus subgroup C cellular receptor
Amillepora13277	Feline leukemia virus subgroup C cellular receptor
Amillepora13275	open reading frame
Amillepora13276	Cytoskeleton associated protein 5
Amillepora13287	Neuronal PAS domain protein 2
Amillepora13284	Kinesin family
Amillepora13281	NA
Amillepora13288	branched-chain-amino-acid aminotransferase
Amillepora13289	ubiquitin-conjugating enzyme
Amillepora13293	whole genome shotgun sequence
Amillepora13291	NA
Amillepora13295	kiaa0930
Amillepora13294	GRIP and coiled-coil domain containing 1
Amillepora13296	Protein Tyrosine Phosphatase
Amillepora13298	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor
Amillepora13290	NA
Amillepora13299	Serum amyloid A-like 1
Amillepora13306	Pao retrotransposon peptidase 
Amillepora13300	SET binding factor
Amillepora13313	NA
Amillepora13308	NA
Amillepora13312	NA
Amillepora13319	NA
Amillepora13321	autophagy related 13
Amillepora13316	apoptosis inhibitor
Amillepora13326	Chromosome 6 open reading frame 108
Amillepora13328	NA
Amillepora13322	Adaptor-related protein complex 2, alpha
Amillepora13324	Zinc binding alcohol dehydrogenase, domain containing 2
Amillepora13334	creatine kinase
Amillepora13339	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase
Amillepora13335	SET domain bifurcated
Amillepora13340	leucine rich repeat containing
Amillepora13344	Growth factor receptor
Amillepora13346	fibroblast growth factor receptor
Amillepora13355	Growth factor receptor
Amillepora13359	protein Hydra magnipapillata
Amillepora13365	PIH1 domain containing
Amillepora13372	transmembrane protein 117
Amillepora13371	N-acetyltransferase 10
Amillepora13367	Chromosome 11 open reading frame 49
Amillepora13369	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Amillepora13373	calmodulin
Amillepora13441	solute carrier family 9, subfamily C (Na -transporting carboxylic acid decarboxylase), member 1
Amillepora13374	calmodulin
Amillepora13375	solute carrier family 9, subfamily C (Na -transporting carboxylic acid decarboxylase), member 1
Amillepora13447	EF-hand calcium binding domain
Amillepora13449	Ring finger protein
Amillepora13445	Ankyrin repeat and sterile alpha motif domain containing
Amillepora13446	EF-hand calcium binding domain
Amillepora13451	Rho guanine nucleotide exchange factor (GEF) 39
Amillepora13455	Nuclear receptor subfamily 4, group A, member
Amillepora13456	Tetratricopeptide repeat
Amillepora13453	RINGv
Amillepora13458	Tetratricopeptide repeat
Amillepora13461	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13463	Tetratricopeptide repeat
Amillepora13460	Tetratricopeptide repeat
Amillepora13466	Tetratricopeptide repeat
Amillepora13468	Inherit from KOG: Growth factor receptor
Amillepora13471	chromosome 9 open reading frame 114
Amillepora13479	glycosyltransferase 25 domain containing
Amillepora13482	solute carrier family 16, member 10 (aromatic amino acid transporter)
Amillepora13481	Interacts with a second catalytic subunit to form an active queuine tRNA-ribosyltransferase. This enzyme exchanges queuine for the guanine at the wobble position of tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), thereby forming the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)
Amillepora13470	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex
Amillepora13476	GLI pathogenesis-related 2
Amillepora13472	wd repeat
Amillepora13484	solute carrier family 16, member
Amillepora13485	Deafness, autosomal recessive 31
Amillepora13488	NA
Amillepora13493	Ring finger protein
Amillepora13491	NA
Amillepora13490	RING finger protein 213
Amillepora13494	NA
Amillepora13502	O-fucosyltransferase 1
Amillepora13500	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. Acts as a regulatory subunit for PP2A-like phosphatases modulating their activity or substrate specificity, probably by inducing a conformational change in the catalytic subunit, a direct target of the PPIase. Can reactivate inactive phosphatase PP2A-phosphatase methylesterase complexes (PP2Ai) in presence of ATP and Mg(2 ) by dissociating the inactive form from the complex (By similarity)
Amillepora13497	Ring finger protein
Amillepora13499	NA
Amillepora13504	Pao retrotransposon peptidase 
Amillepora13507	NA
Amillepora13503	NA
Amillepora13511	reverse transcriptase family protein
Amillepora13515	NA
Amillepora13508	NA
Amillepora13510	NA
Amillepora13513	Inherit from KOG: Growth factor receptor
Amillepora13509	NA
Amillepora13518	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13519	Inherit from euNOG: solute carrier family 17
Amillepora13521	NA
Amillepora13520	NA
Amillepora13525	Ctr9, Paf1 RNA polymerase II complex component, homolog (S. cerevisiae)
Amillepora13527	solute carrier family 4
Amillepora13526	Transmembrane protein 86A
Amillepora13524	Protein disulfide isomerase
Amillepora13530	chondroitin sulfate
Amillepora13537	Protein of unknown function (DUF1759)
Amillepora13538	NA
Amillepora13540	NA
Amillepora13533	Zona pellucida-like domain
Amillepora13535	NA
Amillepora13539	integrase core domain protein
Amillepora13542	importin
Amillepora13547	elongation of very long chain fatty acids protein
Amillepora13549	elongation of very long chain fatty acids protein
Amillepora13548	elongation of very long chain fatty acids protein
Amillepora13546	elongation of very long chain fatty acids protein
Amillepora13551	elongation of very long chain fatty acids protein
Amillepora13550	NA
Amillepora13554	Ets domain transcription factor
Amillepora13559	golgi transport
Amillepora13564	RNA-directed DNA polymerase from mobile element jockey-like
Amillepora13562	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13558	Autophagy beclin-1 regulator 1
Amillepora13569	Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (By similarity)
Amillepora13570	bromodomain adjacent to zinc finger domain
Amillepora13582	Pao retrotransposon peptidase 
Amillepora13581	Pao retrotransposon peptidase 
Amillepora13577	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13573	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13575	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13580	Pao retrotransposon peptidase 
Amillepora13572	tumor protein p53 inducible protein 11
Amillepora13584	Pao retrotransposon peptidase 
Amillepora13578	ankyrin-repeat and fibronectin type III domain containing 1
Amillepora13591	Reverse transcriptase (RNA-dependent DNA polymerase)
Amillepora13601	NA
Amillepora13598	to F57G4.9 Hydra magnipapillata 
Amillepora13603	Pao retrotransposon peptidase 
Amillepora13602	Pao retrotransposon peptidase 
Amillepora13611	NA
Amillepora13609	NA
Amillepora13612	NA
Amillepora13607	Herpesvirus alkaline exonuclease
Amillepora13617	NA
Amillepora13615	NA
Amillepora13616	Integrase core domain
